id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
12951;http://www.convertiblecenter.fr/img/p/3/1/1/9/6/31196.jpg;Canapé convertible 2 places NANTES - Largeur 163 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1821.888950;1189;-2;1
17734;http://www.convertiblecenter.fr/img/p/3/6/4/6/0/36460.jpg;Canapé convertible 4 places TURIN - Largeur 210 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2490.416667;1499;0;1
4463;http://www.convertiblecenter.fr/img/p/3/4/6/6/9/34669.jpg;Matelas Plénitude 100 x 190 pour convertible d'une densité de 35KG/M3 - Garanti 5 ans;;Matelas quotidien 35KG/M3;194.166667;239;49;1
17647;http://www.convertiblecenter.fr/img/p/3/4/4/3/2/34432.jpg;Banquette Clic-clac OLERON - Largeur 193cm - Couchage 130cm - avec matelas BULTEX;;Clic-Clac & BZ;998.333333;599;-1;1
13641;http://www.convertiblecenter.fr/img/p/2/8/2/9/5/28295.jpg;Canapé convertible 3 places PARIS - Largeur 188 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2322.916667;1399;-1;1
17743;http://www.convertiblecenter.fr/img/p/3/6/5/7/7/36577.jpg;Canapé convertible 3 places FOCUS - Largeur 190 cm -  Matelas 18cm - Couchage 140 cm - Sommier doubles lattes larges;;Convertibles 3 places - 140 cm;3073.750000;1599;-1;1
4516;http://www.convertiblecenter.fr/img/p/3/6/1/5/0/36150.jpg;Matelas 140 x 190 d'une densité de 55KG/M3 - pour achat canapé convertible;;Matelas options;285.833333;349;985;1
17664;http://www.convertiblecenter.fr/img/p/3/4/5/6/9/34569.jpg;Canapé convertible 3 places FABIO - Largeur 208cm - Couchage 140cm;;Accueil;2242.916667;1499;0;1
17754;http://www.convertiblecenter.fr/img/p/3/6/8/6/1/36861.jpg;PAOLA - Largeur 280 cm - Canapé d'angle convertible - Couchage 160 cm;;Angles convertibles 6 places  - 160 cm;3823.750000;2299;0;1
10161;http://www.convertiblecenter.fr/img/p/3/1/5/9/5/31595.jpg;Canapé convertible 4 places MARSEILLE - Largeur 190 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2005.653430;1079;-9;1
17676;http://www.convertiblecenter.fr/img/p/3/4/8/4/6/34846.jpg;Fauteuil relaxation GRENADE - Largeur 76 cm + repose pied OFFERT;;Fauteuils relax manuels ;1495.558333;899;-1;1
17767;http://www.convertiblecenter.fr/img/p/3/7/1/9/0/37190.jpg;Canapé convertible BARI en cuir de vachette - Largeur 212 cm - Couchage 140cm;;Convertibles 3 places - 140 cm;4140.416667;2999;0;1
10561;http://www.convertiblecenter.fr/img/p/3/5/6/4/3/35643.jpg;Canapé convertible 4 places MODENA - Largeur 216 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2042.991667;1099;-8;1
17699;http://www.convertiblecenter.fr/img/p/3/5/3/8/2/35382.jpg;Canapé d'angle 4 places fixe HORIZON avec méridienne à droite - Largeur 3m;;Canapés d'angle fixe 3 places;1656.250000;999;6;1
10961;http://www.convertiblecenter.fr/img/p/3/0/8/0/6/30806.jpg;Canapé convertible 4 places BASTIA - Largeur 190 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2074.314440;1189;0;1
11061;http://www.convertiblecenter.fr/img/p/3/1/0/6/6/31066.jpg;Canapé convertible 4 places BOLOGNE - Largeur 200 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2156.250000;1299;0;1
17711;http://www.convertiblecenter.fr/img/p/3/5/9/8/5/35985.jpg;Matelas 140 x 190 pour convertible d'une densité de 40KG/M3 - 18 cm d'épaisseur;;Matelas options;249.166667;299;95;1
17570;http://www.convertiblecenter.fr/img/p/3/0/6/0/2/30602.jpg;Canapé convertible 2 places MANOSQUE - Largeur 168 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1650.941667;889;-10;1
16021;http://www.convertiblecenter.fr/img/p/3/3/8/0/5/33805.jpg;Fauteuil convertible PRALONG - Largeur 115 cm - Couchage 80 cm;;Fauteuils convertibles - 80 cm;1663.583333;999;-5;1
11761;http://www.convertiblecenter.fr/img/p/3/0/5/0/3/30503.jpg;Canapé convertible 4 places DELICE - Largeur 194 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;1894.447330;999;-1;1
